reaction
protein_biomass_to_biomass
mRNA_biomass_to_biomass
tRNA_biomass_to_biomass
rRNA_biomass_to_biomass
ncRNA_biomass_to_biomass
DNA_biomass_to_biomass
lipid_biomass_to_biomass
constituent_biomass_to_biomass
prosthetic_group_biomass_to_biomass
peptidoglycan_biomass_to_biomass
dummy_protein_to_mass
biomass_dilution
EX_ca2_e
EX_co2_e
EX_cobalt2_e
EX_cu2_e
EX_fe2_e
EX_fe3_e
EX_h_e
EX_h2o_e
EX_k_e
EX_mg2_e
EX_mn2_e
EX_mobd_e
EX_na1_e
EX_nh4_e
EX_o2_e
EX_pi_e
EX_slnt_e
EX_so4_e
EX_zn2_e
EX_LI_c
EX_tl_c
EX_RNase_m5
EX_RNase_m16
EX_RNase_m23
EX_glc__D_e
EX_ac_e
EX_lcts_e
EX_glyc_e
EX_succ_e
EX_arg__L_e
EX_no3_e
