reaction,biomass_type
transcription_TU0_8346_from_RpoD_mono,mRNA
transcription_TU0_13998_from_RpoD_mono,mRNA
transcription_TU0_4786_with_TERM0322_from_RpoD_mono,mRNA
transcription_TU0_6552_from_RpoD_mono,mRNA
transcription_TU0_8601_from_RpoD_mono,mRNA
transcription_TU0_8472_from_RpoD_mono,mRNA
transcription_TU0_14689_from_RpoD_mono,mRNA
transcription_TU0_14689_from_RPOS_MONOMER,mRNA
transcription_TU0_13009_from_RpoD_mono,mRNA
transcription_TU443_from_RpoD_mono,mRNA
transcription_TU0_14054_from_RpoD_mono,mRNA
transcription_TU00025_from_RPOS_MONOMER,mRNA
transcription_TU00025_from_RpoD_mono,mRNA
transcription_TU00179_from_RpoD_mono,mRNA
transcription_TU0_14139_from_RpoD_mono,mRNA
transcription_TU0_13079_from_RpoD_mono,mRNA
transcription_TU0_13410_from_RpoD_mono,mRNA
transcription_TU0_12810_from_RpoD_mono,mRNA
transcription_TU0_14257_from_RpoD_mono,mRNA
transcription_TU00092_from_RpoD_mono,mRNA
transcription_TU0_14608_from_RpoD_mono,mRNA
transcription_TU0_4802_from_RpoD_mono,mRNA
transcription_TU0_4802_with_TERM0563_from_RpoD_mono,mRNA
transcription_TU0_1022_from_RpoD_mono,mRNA
transcription_TU0_6553_from_RpoD_mono,mRNA
transcription_TU788_from_RPOS_MONOMER,mRNA
transcription_TU788_from_RpoD_mono,mRNA
transcription_TU00163_from_RpoD_mono,mRNA
transcription_TU0_13240_from_RpoD_mono,mRNA
transcription_TU0_8693_from_RpoD_mono,mRNA
transcription_TU0_8533_from_RpoD_mono,mRNA
transcription_TU00246_from_RpoD_mono,mRNA
transcription_TU0_13303_from_RpoD_mono,mRNA
transcription_TU0_14501_from_RpoD_mono,mRNA
transcription_TU461_from_RpoD_mono,mRNA
transcription_TU0_8473_from_RpoD_mono,mRNA
transcription_TU0_13010_from_RpoD_mono,mRNA
transcription_TU0_13080_from_RpoD_mono,mRNA
transcription_TU0_13650_from_RpoD_mono,mRNA
transcription_TU0_13887_from_RpoD_mono,mRNA
transcription_TU0_14055_from_RpoD_mono,mRNA
transcription_TU00298_from_RpoD_mono,mRNA
transcription_TU00093_from_RpoD_mono,mRNA
transcription_TU00026_from_RpoD_mono,mRNA
transcription_TU0_13786_from_RpoD_mono,mRNA
transcription_TU0_6554_from_RpoD_mono,mRNA
transcription_TU0_14140_from_RpoD_mono,mRNA
transcription_TU361_from_RpoD_mono,mRNA
transcription_TU0_13411_from_RpoD_mono,mRNA
transcription_TU00372_from_RpoD_mono,mRNA
transcription_TU00164_from_RpoD_mono,mRNA
transcription_TU0_4823_from_RPOS_MONOMER,mRNA
transcription_TU0_14692_with_TERM0_1093_from_RPOS_MONOMER,mRNA
transcription_TU0_14692_with_TERM0_1093_from_RpoD_mono,mRNA
transcription_TU0_14609_from_RpoD_mono,mRNA
transcription_TU0_7745_from_RpoD_mono,mRNA
transcription_TU0_8534_from_RpoD_mono,mRNA
transcription_TU0_5101_from_RpoD_mono,mRNA
transcription_TU00247_from_RpoD_mono,mRNA
transcription_TU462_from_RpoD_mono,mRNA
transcription_TU0_13846_from_RpoD_mono,mRNA
transcription_TU0_14393_from_RpoD_mono,mRNA
transcription_TU0_6556_from_RpoD_mono,mRNA
transcription_TU0_14126_from_RpoD_mono,mRNA
transcription_TU0_8474_with_RPSOT1_from_RpoD_mono,mRNA
transcription_TU00094_from_RpoD_mono,mRNA
transcription_TU0_13304_from_RpoD_mono,mRNA
transcription_TU0_4881_from_RpoD_mono,mRNA
transcription_TU0_4881_with_TERM0382_from_RpoD_mono,mRNA
transcription_TU0_14056_from_RpoD_mono,mRNA
transcription_TU0_14_from_RpoD_mono,mRNA
transcription_TU00027_from_RpoD_mono,mRNA
transcription_TU00165_from_RpoD_mono,mRNA
transcription_TU0_12947_from_RpoD_mono,mRNA
transcription_TU0_13651_from_RpoD_mono,mRNA
transcription_TU0_5121_from_RPOE_MONOMER,mRNA
transcription_TU0_12812_from_RpoD_mono,mRNA
transcription_TU00373_from_RpoD_mono,mRNA
transcription_TU0_13355_from_RpoD_mono,mRNA
transcription_TU0_14693_with_TERM0_1094_from_RPOS_MONOMER,mRNA
transcription_TU0_14693_with_TERM0_1094_from_RpoD_mono,mRNA
transcription_TU0_6557_from_RpoD_mono,mRNA
transcription_TU0_1061_from_RpoD_mono,mRNA
transcription_TU482_with_TERM161_from_RpoD_mono,mRNA
transcription_TU0_12827_from_RpoD_mono,mRNA
transcription_TU00504_from_RpoD_mono,mRNA
transcription_TU00182_from_RpoD_mono,mRNA
transcription_TU00248_from_RpoD_mono,mRNA
transcription_TU0_1461_from_RpoD_mono,mRNA
transcription_TU0_5162_from_RpoD_mono,mRNA
transcription_TU0_14394_with_TERM0_1039_from_RpoD_mono,mRNA
transcription_TU0_13774_from_RpoD_mono,mRNA
transcription_TU363_from_RpoD_mono,mRNA
transcription_TU00166_from_RpoD_mono,mRNA
transcription_TU00434_with_TERM72_from_RpoD_mono,mRNA
transcription_TU00300_from_RpoD_mono,mRNA
transcription_TU0_14694_from_RpoD_mono,mRNA
transcription_TU00374_from_RpoD_mono,mRNA
transcription_TU0_5163_from_RpoD_mono,mRNA
transcription_TU483_from_RpoD_mono,mRNA
transcription_TU0_13652_from_RpoD_mono,mRNA
transcription_TU00183_from_RpoD_mono,mRNA
transcription_TU0_1062_from_RpoD_mono,mRNA
transcription_TU0_13356_from_RPOS_MONOMER,mRNA
transcription_TU0_13083_from_RpoD_mono,mRNA
transcription_TU0_13243_from_RpoD_mono,mRNA
transcription_TU0_4904_from_RPOH_MONOMER,mRNA
transcription_TU0_8353_from_RPOH_MONOMER,mRNA
transcription_TU0_3581_from_RPON_MONOMER,mRNA
transcription_TU0_14395_with_TERM0_1039_from_RpoD_mono,mRNA
transcription_TU0_6562_with_PROS_TERMINATOR_from_RpoD_mono,mRNA
transcription_TU00167_with_TERM0261_from_RpoD_mono,mRNA
transcription_TU0_14263_from_RpoD_mono,mRNA
transcription_TU0_14506_from_RpoD_mono,mRNA
transcription_TU0_5182_from_RpoD_mono,mRNA
transcription_TU0_14696_with_TERM0_1095_from_RpoD_mono,mRNA
transcription_TU0_13013_from_RpoD_mono,mRNA
transcription_TU00435_with_TERM72_from_RpoD_mono,mRNA
transcription_TU00301_from_RpoD_mono,mRNA
transcription_TU00029_from_RPON_MONOMER,mRNA
transcription_TU0_8764_from_RpoD_mono,mRNA
transcription_TU0_13713_from_RpoD_mono,mRNA
transcription_TU0_13848_from_RpoD_mono,mRNA
transcription_TU484_from_RpoD_mono,mRNA
transcription_TU0_12951_from_RpoD_mono,mRNA
transcription_TU0_4905_from_RPOS_MONOMER,mRNA
transcription_TU0_4905_from_RpoD_mono,mRNA
transcription_TU0_3602_from_RPON_MONOMER,mRNA
transcription_TU00375_from_RpoD_mono,mRNA
transcription_TU0_8681_from_RpoD_mono,mRNA
transcription_TU00184_from_RpoD_mono,mRNA
transcription_TU00097_from_RPOS_MONOMER,mRNA
transcription_TU00097_from_RpoD_mono,mRNA
transcription_TU0_5183_from_RpoD_mono,mRNA
transcription_TU0_14489_from_RpoD_mono,mRNA
transcription_TU0_14489_from_RPOH_MONOMER,mRNA
transcription_TU0_12830_from_RpoD_mono,mRNA
transcription_TU0_1601_from_RpoD_mono,mRNA
transcription_TU00168_from_RPOS_MONOMER,mRNA
